canonical,cell_name,count,logic_expr,n_inputs,tt_weight,anf_degree,is_affine,is_symmetric,is_monotone,is_anti_monotone,output_inv_count,input_inv_count,fet_count,n_nmos,n_pmos,nfin_n_total,nfin_p_total,nfin_ratio,max_stack_n,max_stack_p,n_internal_nets,total_transistors,cpp_min,cell_fraction,cpp_min_ds
0b10001001,3input0x28_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,0,0,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10001010,3input0x29_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000,4
0b10001011,3input0x2A_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,1,10,5,5,10,10,1.000000,2,2,4,10,5,0.000000,5
0b10001110,3input0x2B_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,2,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b10001110,3input0x2B_X1_DH_P,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,2,14,7,7,14,14,1.000000,2,2,6,14,7,0.000000,7
0b10001111,3input0x2C_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,0,0,0,0,2,8,4,4,8,8,1.000000,2,2,3,8,4,0.000000,4
0b10010110,3input0x2D_X1_DH_N,0,,3,0.500000,1,1,1,0,0,0,0,18,10,10,20,20,1.000000,2,2,9,20,12,0.000000,12
0b10010111,3input0x2E_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,1,0,0,0,0,18,9,9,18,18,1.000000,2,3,8,18,9,0.000000,9
0b10010111,3input0x2E_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.625000,3,0,1,0,0,0,0,18,9,9,18,18,1.000000,2,3,8,18,9,0.000000,9
0b10011000,3input0x2F_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10011000,3input0x2F_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.375000,3,0,0,0,0,0,1,12,6,6,12,12,1.000000,2,2,5,12,6,0.000000,6
0b10011010,3input0x30_X1,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,20,10,10,20,20,1.000000,2,2,9,20,11,0.000000,11
0b10011010,3input0x30_X1_DH_N,0,[UNCLASSIFIED_FALLBACK] ,3,0.500000,2,0,0,0,0,0,0,20,10,10,20,20,1.000000,2,2,9,20,11,0.000000,11
